iter	Passed	Remaining
697	3084	1334
698	3088	1330
699	3093	1325
700	3097	1321
701	3102	1317
702	3107	1312
703	3112	1308
704	3116	1304
705	3120	1299
706	3125	1295
707	3129	1290
708	3133	1286
709	3137	1281
710	3141	1276
711	3145	1272
712	3149	1267
713	3153	1263
714	3157	1258
715	3161	1254
716	3166	1249
717	3170	1245
718	3175	1240
719	3179	1236
720	3184	1232
721	3189	1227
722	3194	1223
723	3199	1219
724	3203	1215
725	3208	1210
726	3212	1206
727	3217	1202
728	3221	1197
729	3226	1193
730	3230	1188
731	3234	1184
732	3239	1179
733	3243	1175
734	3248	1171
735	3252	1166
736	3256	1162
737	3261	1157
738	3265	1153
739	3269	1148
740	3274	1144
741	3278	1140
742	3283	1135
743	3287	1131
744	3292	1126
745	3296	1122
746	3301	1118
747	3305	1113
748	3309	1109
749	3313	1104
750	3317	1100
751	3322	1095
752	3326	1091
753	3330	1086
754	3335	1082
755	3339	1077
756	3344	1073
757	3348	1069
758	3352	1064
759	3357	1060
760	3361	1055
761	3365	1051
762	3370	1046
763	3374	1042
764	3378	1037
765	3383	1033
766	3387	1029
767	3391	1024
768	3396	1020
769	3400	1015
770	3405	1011
771	3409	1006
772	3413	1002
773	3418	998
774	3422	993
775	3426	989
776	3430	984
777	3435	980
778	3439	975
779	3444	971
780	3448	967
781	3453	962
782	3457	958
783	3461	953
784	3466	949
785	3470	944
786	3475	940
787	3479	936
788	3483	931
789	3488	927
790	3492	922
791	3497	918
792	3503	914
793	3512	911
794	3519	907
795	3526	903
796	3533	900
797	3540	896
798	3548	892
799	3555	888
800	3564	885
801	3572	881
802	3580	878
803	3587	874
804	3595	870
805	3602	867
806	3610	863
807	3618	859
808	3626	856
809	3634	852
810	3642	848
811	3649	845
812	3658	841
813	3666	837
814	3674	834
815	3682	830
816	3689	826
817	3697	822
818	3705	818
819	3712	815
820	3720	811
821	3728	807
822	3736	803
823	3744	799
824	3751	795
825	3759	791
826	3767	788
827	3774	784
828	3782	780
829	3789	776
830	3796	772
831	3803	768
832	3810	763
833	3818	759
834	3825	755
835	3832	751
836	3839	747
837	3846	743
838	3854	739
839	3861	735
840	3867	731
841	3873	726
842	3878	722
843	3882	717
844	3886	712
845	3890	708
846	3895	703
847	3899	698
848	3904	694
849	3908	689
850	3912	685
851	3917	680
852	3922	675
853	3927	671
854	3931	666
855	3936	662
856	3941	657
857	3945	653
858	3950	648
859	3954	643
860	3958	639
861	3962	634
862	3966	629
863	3971	625
864	3975	620
865	3979	615
866	3984	611
867	3988	606
868	3992	601
869	3996	597
870	4000	592
871	4005	587
872	4009	583
873	4013	578
874	4018	574
875	4022	569
876	4026	564
877	4030	560
878	4034	555
879	4039	550
880	4043	546
881	4047	541
882	4052	536
883	4056	532
884	4061	527
885	4065	523
886	4069	518
887	4074	513
888	4078	509
889	4082	504
890	4087	500
891	4091	495
892	4095	490
893	4100	486
894	4104	481
895	4108	476
896	4113	472
897	4117	467
898	4121	463
899	4125	458
900	4129	453
901	4134	449
902	4138	444
903	4142	439
904	4147	435
905	4151	430
906	4155	426
907	4160	421
908	4164	416
909	4168	412
910	4173	407
911	4177	403
912	4181	398
913	4186	393
914	4190	389
915	4194	384
916	4198	380
917	4202	375
918	4207	370
